English,Type,Episodes,Status,Start_Aired,End_Aired,Premiered,Studios,Source,Genres,Demographics,Score,Popularity,Favorites
JoJo's Bizarre Adventure Golden Wind,TV,39,Finished Airing,"Oct 6, 2018","Jul 28, 2019",Fall 2018,David Production,Manga,"Action, Adventure",Shounen,8.581,156,28506
Danganronpa The Animation,TV,13,Finished Airing,"Jul 5, 2013","Sep 27, 2013",Summer 2013,Lerche,Visual novel,"Horror, Mystery",Unknown,7.221,157,7971
5 Centimeters Per Second,Movie,3,Finished Airing,"Mar 3, 2007",Not Available,Unknown,CoMix Wave Films,Original,"Drama, Romance, Slice of Life",Unknown,7.591,158,10396
Unknown,TV,11,Finished Airing,"Jan 14, 2021","Mar 25, 2021",Winter 2021,TMS Entertainment,Manga,"Adventure, Comedy, Sci-Fi",Shounen,8.181,159,6762
The Melancholy of Haruhi Suzumiya,TV,14,Finished Airing,"Apr 3, 2006","Jul 3, 2006",Spring 2006,Kyoto Animation,Light novel,"Comedy, Mystery, Sci-Fi, Slice of Life",Unknown,7.831,160,14663
Black Bullet,TV,13,Finished Airing,"Apr 8, 2014","Jul 1, 2014",Spring 2014,"Kinema Citrus, Orange",Light novel,"Action, Mystery, Sci-Fi",Seinen,7.101,161,3642
Monthly Girls' Nozaki-kun,TV,12,Finished Airing,"Jul 7, 2014","Sep 22, 2014",Summer 2014,Doga Kobo,4-koma manga,"Comedy, Romance",Unknown,7.851,162,10496
Plastic Memories,TV,13,Finished Airing,"Apr 5, 2015","Jun 28, 2015",Spring 2015,Doga Kobo,Original,"Drama, Romance, Sci-Fi",Unknown,7.911,163,11014
Chivalry of a Failed Knight,TV,12,Finished Airing,"Oct 3, 2015","Dec 19, 2015",Fall 2015,"SILVER LINK., Nexus",Light novel,"Action, Fantasy, Romance, Ecchi",Unknown,7.461,164,8215
Wotakoi Love is Hard for Otaku,TV,11,Finished Airing,"Apr 13, 2018","Jun 22, 2018",Spring 2018,A-1 Pictures,Web manga,Romance,Unknown,7.951,165,10291
Baccano!,TV,13,Finished Airing,"Jul 27, 2007","Nov 2, 2007",Summer 2007,Brain's Base,Light novel,"Action, Comedy, Mystery, Supernatural",Unknown,8.381,166,22510
High School DxD New,TV,12,Finished Airing,"Jul 7, 2013","Sep 22, 2013",Summer 2013,TNK,Light novel,"Action, Comedy, Romance, Ecchi",Unknown,7.491,167,4401
Rent-a-Girlfriend,TV,12,Finished Airing,"Jul 11, 2020","Sep 26, 2020",Summer 2020,TMS Entertainment,Manga,"Comedy, Romance",Shounen,7.161,168,7940
Hellsing Ultimate,OVA,10,Finished Airing,"Feb 10, 2006","Dec 26, 2012",Unknown,"Madhouse, Satelight, Graphinica",Manga,"Action, Horror, Supernatural",Seinen,8.361,169,19878
Weathering with You,Movie,1,Finished Airing,"Jul 19, 2019",Not Available,Unknown,CoMix Wave Films,Original,"Drama, Fantasy, Romance, Slice of Life",Unknown,8.311,170,10907
Blue Spring Ride,TV,12,Finished Airing,"Jul 8, 2014","Sep 23, 2014",Summer 2014,Production I.G,Manga,"Drama, Romance, Slice of Life",Shoujo,7.641,171,9483
Kimi ni Todoke From Me to You,TV,25,Finished Airing,"Oct 7, 2009","Mar 31, 2010",Fall 2009,Production I.G,Manga,"Drama, Romance, Slice of Life",Shoujo,8.001,172,11845
The Promised Neverland Season 2,TV,11,Finished Airing,"Jan 8, 2021","Mar 26, 2021",Winter 2021,CloverWorks,Manga,"Sci-Fi, Suspense",Shounen,5.341,173,4476
Neon Genesis Evangelion The End of Evangelion,Movie,1,Finished Airing,"Jul 19, 1997",Not Available,Unknown,"Gainax, Production I.G",Original,"Avant Garde, Drama, Sci-Fi",Unknown,8.551,174,25342
The Quintessential Quintuplets,TV,12,Finished Airing,"Jan 11, 2019","Mar 29, 2019",Winter 2019,Tezuka Productions,Manga,"Comedy, Romance",Shounen,7.671,175,12519
Saga of Tanya the Evil,TV,12,Finished Airing,"Jan 6, 2017","Mar 31, 2017",Winter 2017,Nut,Light novel,Action,Unknown,7.971,176,10984
Nichijou - My Ordinary Life,TV,26,Finished Airing,"Apr 3, 2011","Sep 25, 2011",Spring 2011,Kyoto Animation,Manga,Comedy,Shounen,8.461,177,21411
The Ancient Magus' Bride,TV,24,Finished Airing,"Oct 8, 2017","Mar 25, 2018",Fall 2017,Wit Studio,Manga,Fantasy,Shounen,8.071,178,10441
I Want To Eat Your Pancreas,Movie,1,Finished Airing,"Sep 1, 2018",Not Available,Unknown,Studio VOLN,Novel,"Drama, Romance, Slice of Life",Unknown,8.561,179,17993
Yuri!!! On ICE,TV,12,Finished Airing,"Oct 6, 2016","Dec 22, 2016",Fall 2016,MAPPA,Original,Sports,Unknown,7.911,180,19565
Haikyu!! To the Top,TV,13,Finished Airing,"Jan 11, 2020","Apr 4, 2020",Winter 2020,Production I.G,Manga,Sports,Shounen,8.361,181,4856
BTOOOM!,TV,12,Finished Airing,"Oct 4, 2012","Dec 20, 2012",Fall 2012,Madhouse,Manga,"Action, Sci-Fi",Seinen,7.311,182,3299
Tower of God,TV,13,Finished Airing,"Apr 2, 2020","Jun 25, 2020",Spring 2020,Telecom Animation Film,Web manga,"Action, Adventure, Drama, Fantasy, Mystery",Unknown,7.561,183,5849
Blood Blockade Battlefront,TV,12,Finished Airing,"Apr 5, 2015","Oct 4, 2015",Spring 2015,Bones,Manga,"Action, Comedy, Fantasy, Supernatural",Shounen,7.611,184,7196
The God of High School,TV,13,Finished Airing,"Jul 6, 2020","Sep 28, 2020",Summer 2020,MAPPA,Web manga,"Action, Fantasy, Sci-Fi, Supernatural",Unknown,7.071,185,3873
Unknown,Movie,1,Finished Airing,"Jul 15, 2017",Not Available,Unknown,Madhouse,Light novel,"Drama, Fantasy, Romance",Unknown,8.211,186,7330
Fate/stay night [Unlimited Blade Works] Season 2,TV,13,Finished Airing,"Apr 5, 2015","Jun 28, 2015",Spring 2015,ufotable,Visual novel,"Action, Fantasy, Supernatural",Unknown,8.321,187,8801
Steins;Gate 0,TV,23,Finished Airing,"Apr 12, 2018","Sep 27, 2018",Spring 2018,White Fox,Visual novel,"Drama, Sci-Fi, Suspense",Unknown,8.521,188,10881
Overlord III,TV,13,Finished Airing,"Jul 10, 2018","Oct 2, 2018",Summer 2018,Madhouse,Light novel,"Action, Fantasy, Supernatural",Unknown,7.931,189,5104
Magi The Kingdom of Magic,TV,25,Finished Airing,"Oct 6, 2013","Mar 30, 2014",Fall 2013,A-1 Pictures,Manga,"Action, Adventure, Fantasy",Shounen,8.231,190,7449
Kokoro Connect,TV,13,Finished Airing,"Jul 8, 2012","Sep 30, 2012",Summer 2012,SILVER LINK.,Light novel,"Drama, Romance, Supernatural",Unknown,7.761,191,7712
The Garden of Words,Movie,1,Finished Airing,"May 31, 2013",Not Available,Unknown,CoMix Wave Films,Original,"Drama, Romance, Slice of Life",Unknown,7.911,192,6529
Kuroko's Basketball 2,TV,25,Finished Airing,"Oct 6, 2013","Mar 30, 2014",Fall 2013,Production I.G,Manga,Sports,Shounen,8.231,193,4242
That Time I Got Reincarnated as a Slime Season 2,TV,12,Finished Airing,"Jan 12, 2021","Mar 30, 2021",Winter 2021,8bit,Manga,"Action, Adventure, Comedy, Fantasy",Unknown,8.401,194,9855
Trinity Seven,TV,12,Finished Airing,"Oct 8, 2014","Dec 24, 2014",Fall 2014,Seven Arcs Pictures,Manga,"Action, Comedy, Fantasy, Romance, Supernatural, Ecchi",Shounen,7.081,196,3694
Yona of the Dawn,TV,24,Finished Airing,"Oct 7, 2014","Mar 24, 2015",Fall 2014,Pierrot,Manga,"Action, Adventure, Comedy, Fantasy, Romance",Shoujo,8.031,197,14732
Masamune-kun's Revenge,TV,12,Finished Airing,"Jan 5, 2017","Mar 23, 2017",Winter 2017,SILVER LINK.,Manga,"Comedy, Romance",Shounen,6.741,198,2960
The Familiar of Zero,TV,13,Finished Airing,"Jul 3, 2006","Sep 25, 2006",Summer 2006,J.C.Staff,Light novel,"Action, Adventure, Comedy, Fantasy, Romance, Ecchi",Unknown,7.251,199,7672
My Dress-Up Darling,TV,12,Finished Airing,"Jan 9, 2022","Mar 27, 2022",Winter 2022,CloverWorks,Manga,"Romance, Slice of Life",Seinen,8.311,200,16633
Tokyo Ghoulre 2nd Season,TV,12,Finished Airing,"Oct 9, 2018","Dec 25, 2018",Fall 2018,"Pierrot, Pierrot Plus",Manga,"Action, Fantasy, Horror",Seinen,6.411,201,2551
Mushi-Shi,TV,26,Finished Airing,"Oct 23, 2005","Jun 19, 2006",Fall 2005,Artland,Manga,"Adventure, Fantasy, Mystery, Slice of Life, Supernatural",Seinen,8.671,202,25017
Haganai I don't have many friends,TV,12,Finished Airing,"Oct 7, 2011","Dec 23, 2011",Fall 2011,AIC Build,Light novel,"Comedy, Romance, Ecchi",Unknown,7.181,203,3680
Unknown,TV,12,Finished Airing,"Oct 10, 2019","Dec 26, 2019",Fall 2019,Orange,Manga,"Drama, Slice of Life",Shounen,7.871,204,9118
A Certain Magical Index,TV,24,Finished Airing,"Oct 5, 2008","Mar 19, 2009",Fall 2008,J.C.Staff,Light novel,"Action, Sci-Fi",Unknown,7.371,205,5337
Spice and Wolf,TV,13,Finished Airing,"Jan 9, 2008","Mar 26, 2008",Winter 2008,Imagin,Light novel,"Adventure, Fantasy, Romance",Unknown,8.231,206,17182
Daily Lives of High School Boys,TV,12,Finished Airing,"Jan 10, 2012","Mar 27, 2012",Winter 2012,Sunrise,Web manga,Comedy,Unknown,8.241,207,13304
Akira,Movie,1,Finished Airing,"Jul 16, 1988",Not Available,Unknown,Tokyo Movie Shinsha,Manga,"Action, Adventure, Horror, Sci-Fi, Supernatural",Seinen,8.151,208,11939
Wolf Children,Movie,1,Finished Airing,"Jul 21, 2012",Not Available,Unknown,Studio Chizu,Original,"Fantasy, Slice of Life",Unknown,8.591,209,10750
When They Cry,TV,26,Finished Airing,"Apr 5, 2006","Sep 27, 2006",Spring 2006,Studio Deen,Visual novel,"Horror, Mystery, Supernatural, Suspense",Unknown,7.901,210,20156
Into the Forest of Fireflies' Light,Movie,1,Finished Airing,"Sep 17, 2011",Not Available,Unknown,Brain's Base,Manga,"Drama, Romance, Supernatural",Shoujo,8.301,211,9695
FLCL,OVA,6,Finished Airing,"Apr 26, 2000","Mar 16, 2001",Unknown,"Gainax, Production I.G",Original,"Action, Avant Garde, Comedy, Sci-Fi",Unknown,8.021,212,27333
Orange,TV,13,Finished Airing,"Jul 4, 2016","Sep 26, 2016",Summer 2016,Telecom Animation Film,Manga,"Drama, Romance, Sci-Fi",Shoujo,7.621,213,6402
Great Teacher Onizuka,TV,43,Finished Airing,"Jun 30, 1999","Sep 17, 2000",Summer 1999,Pierrot,Manga,"Comedy, Drama",Shounen,8.691,214,23930
Free! - Iwatobi Swim Club,TV,12,Finished Airing,"Jul 4, 2013","Sep 26, 2013",Summer 2013,"Kyoto Animation, Animation Do",Original,Sports,Unknown,7.341,215,9296
Banana Fish,TV,24,Finished Airing,"Jul 6, 2018","Dec 21, 2018",Summer 2018,MAPPA,Manga,"Action, Adventure, Drama",Shoujo,8.501,216,27299
Kabaneri of the Iron Fortress,TV,12,Finished Airing,"Apr 8, 2016","Jul 1, 2016",Spring 2016,Wit Studio,Original,"Action, Drama, Fantasy, Horror, Supernatural",Unknown,7.261,217,3265
Dragon Ball Super,TV,131,Finished Airing,"Jul 5, 2015","Mar 25, 2018",Summer 2015,Toei Animation,Manga,"Action, Adventure, Comedy, Fantasy",Shounen,7.421,218,9284
The Girl Who Leapt Through Time,Movie,1,Finished Airing,"Jul 15, 2006",Not Available,Unknown,Madhouse,Novel,"Drama, Romance, Sci-Fi",Unknown,8.131,219,5599
High School DxD BorN,TV,12,Finished Airing,"Apr 4, 2015","Jun 20, 2015",Spring 2015,TNK,Light novel,"Action, Comedy, Romance, Ecchi",Unknown,7.431,220,3798
ReZERO -Starting Life in Another World- Season 2 Part 2,TV,12,Finished Airing,"Jan 6, 2021","Mar 24, 2021",Winter 2021,White Fox,Light novel,"Drama, Fantasy, Suspense",Unknown,8.471,221,11363
GATE,TV,12,Finished Airing,"Jul 4, 2015","Sep 19, 2015",Summer 2015,A-1 Pictures,Light novel,"Action, Adventure, Fantasy",Unknown,7.701,222,5799
Bungo Stray Dogs 2,TV,12,Finished Airing,"Oct 6, 2016","Dec 16, 2016",Fall 2016,Bones,Manga,"Action, Mystery, Supernatural",Seinen,8.201,223,6295
SHIMONETA A Boring World Where the Concept of Dirty Jokes Doesn't Exist,TV,12,Finished Airing,"Jul 4, 2015","Sep 19, 2015",Summer 2015,J.C.Staff,Light novel,"Comedy, Ecchi",Unknown,7.251,224,3628
From the New World,TV,25,Finished Airing,"Sep 29, 2012","Mar 23, 2013",Fall 2012,A-1 Pictures,Novel,"Drama, Horror, Mystery, Sci-Fi, Supernatural",Unknown,8.301,225,21368
InuYasha,TV,167,Finished Airing,"Oct 16, 2000","Sep 13, 2004",Fall 2000,Sunrise,Manga,"Action, Adventure, Comedy, Fantasy, Romance, Supernatural",Shounen,7.851,226,17036
Yamada-kun and the Seven Witches,TV,12,Finished Airing,"Apr 12, 2015","Jun 28, 2015",Spring 2015,LIDENFILMS,Manga,"Comedy, Mystery, Romance, Supernatural",Shounen,7.561,227,3877
Is It Wrong to Try to Pick Up Girls in a Dungeon? II,TV,12,Finished Airing,"Jul 13, 2019","Sep 28, 2019",Summer 2019,J.C.Staff,Light novel,"Action, Adventure, Comedy, Fantasy, Romance",Unknown,7.231,228,1945
To Your Eternity,TV,20,Finished Airing,"Apr 12, 2021","Aug 30, 2021",Spring 2021,Brain's Base,Manga,"Adventure, Drama, Supernatural",Shounen,8.381,229,12238
Seraph of the End Battle in Nagoya,TV,12,Finished Airing,"Oct 10, 2015","Dec 26, 2015",Fall 2015,Wit Studio,Manga,"Action, Drama, Supernatural",Shounen,7.621,230,2807
K,TV,13,Finished Airing,"Oct 5, 2012","Dec 28, 2012",Fall 2012,GoHands,Original,"Action, Mystery, Supernatural",Unknown,7.441,231,6500
Haven't You Heard? I'm Sakamoto,TV,12,Finished Airing,"Apr 8, 2016","Jul 1, 2016",Spring 2016,Studio Deen,Manga,Comedy,Seinen,7.561,232,2436
Komi Can't Communicate,TV,12,Finished Airing,"Oct 7, 2021","Dec 23, 2021",Fall 2021,OLM,4-koma manga,Comedy,Shounen,7.991,233,11156
Fruits Basket 2019 1st Season,TV,25,Finished Airing,"Apr 6, 2019","Sep 21, 2019",Spring 2019,TMS Entertainment,Manga,"Drama, Fantasy, Romance",Shoujo,8.221,234,13622
Blue Exorcist Kyoto Saga,TV,12,Finished Airing,"Jan 7, 2017","Mar 25, 2017",Winter 2017,A-1 Pictures,Manga,"Action, Fantasy",Shounen,7.361,235,1517
Unknown,TV,12,Finished Airing,"Jan 9, 2019","Mar 27, 2019",Winter 2019,MAPPA,Manga,"Drama, Mystery",Shounen,7.201,236,1886
Nisemonogatari,TV,11,Finished Airing,"Jan 8, 2012","Mar 18, 2012",Winter 2012,Shaft,Light novel,"Comedy, Mystery, Supernatural, Ecchi",Unknown,8.151,237,3812
Monster Musume Everyday Life with Monster Girls,TV,12,Finished Airing,"Jul 8, 2015","Sep 23, 2015",Summer 2015,Lerche,Manga,"Comedy, Fantasy, Romance, Ecchi",Seinen,6.991,238,3747
Haikyu!! TO THE TOP 2nd-cour,TV,12,Finished Airing,"Oct 3, 2020","Dec 19, 2020",Fall 2020,Production I.G,Manga,Sports,Shounen,8.541,239,5693
Kuroko's Basketball 3,TV,25,Finished Airing,"Jan 11, 2015","Jun 30, 2015",Winter 2015,Production I.G,Manga,Sports,Shounen,8.311,240,4875
"Love, Chunibyo & Other Delusions! Heart Throb",TV,12,Finished Airing,"Jan 9, 2014","Mar 27, 2014",Winter 2014,Kyoto Animation,Light novel,"Comedy, Romance",Unknown,7.551,241,2441
Kiznaiver,TV,12,Finished Airing,"Apr 9, 2016","Jun 25, 2016",Spring 2016,Trigger,Original,"Drama, Romance, Sci-Fi",Unknown,7.391,242,4716
Trigun,TV,26,Finished Airing,"Apr 1, 1998","Sep 30, 1998",Spring 1998,Madhouse,Manga,"Action, Adventure, Comedy, Drama, Sci-Fi",Shounen,8.221,243,13704
Accel World,TV,24,Finished Airing,"Apr 7, 2012","Sep 22, 2012",Spring 2012,Sunrise,Light novel,"Action, Romance, Sci-Fi",Unknown,7.241,244,3827
"Don't Toy with Me, Miss Nagatoro",TV,12,Finished Airing,"Apr 11, 2021","Jun 27, 2021",Spring 2021,Telecom Animation Film,Manga,Comedy,Unknown,7.361,245,8321
Welcome to the N.H.K.,TV,24,Finished Airing,"Jul 10, 2006","Dec 18, 2006",Summer 2006,Gonzo,Novel,"Comedy, Drama, Romance",Unknown,8.321,246,24138
Grand Blue Dreaming,TV,12,Finished Airing,"Jul 14, 2018","Sep 29, 2018",Summer 2018,Zero-G,Manga,Comedy,Seinen,8.431,247,16967
Grimgar Ashes and Illusions,TV,12,Finished Airing,"Jan 11, 2016","Mar 28, 2016",Winter 2016,A-1 Pictures,Light novel,"Action, Adventure, Drama, Fantasy",Unknown,7.651,248,5668
My Hero Academia Two Heroes,Movie,1,Finished Airing,"Aug 3, 2018",Not Available,Unknown,Bones,Manga,Action,Shounen,7.571,249,1329
KonoSuba God's Blessing on This Wonderful World! - Legend of Crimson,Movie,1,Finished Airing,"Aug 30, 2019",Not Available,Unknown,J.C.Staff,Light novel,"Adventure, Comedy, Fantasy",Unknown,8.461,250,4436
Sword Art Online the Movie -Ordinal Scale-,Movie,1,Finished Airing,"Feb 18, 2017",Not Available,Unknown,A-1 Pictures,Original,"Action, Adventure, Fantasy",Unknown,7.571,251,3393
Serial Experiments Lain,TV,13,Finished Airing,"Jul 6, 1998","Sep 28, 1998",Summer 1998,Triangle Staff,Original,"Avant Garde, Drama, Mystery, Sci-Fi, Supernatural",Unknown,8.071,252,23185
Eromanga Sensei,TV,12,Finished Airing,"Apr 9, 2017","Jun 25, 2017",Spring 2017,A-1 Pictures,Light novel,"Comedy, Drama, Romance, Ecchi",Unknown,6.381,253,2679
Hellsing,TV,13,Finished Airing,"Oct 11, 2001","Jan 17, 2002",Fall 2001,Gonzo,Manga,"Action, Horror, Supernatural",Seinen,7.491,254,5619
Sword Art Online Alicization - War of Underworld,TV,12,Finished Airing,"Oct 13, 2019","Dec 29, 2019",Fall 2019,A-1 Pictures,Light novel,"Action, Adventure, Fantasy",Unknown,7.581,255,3394
Tsuredure Children,TV,12,Finished Airing,"Jul 4, 2017","Sep 19, 2017",Summer 2017,Studio Gokumi,4-koma manga,"Comedy, Romance",Shounen,7.581,256,2556
The Seven Deadly Sins Signs of Holy War,TV,4,Finished Airing,"Aug 28, 2016","Sep 18, 2016",Summer 2016,A-1 Pictures,Manga,"Action, Adventure, Fantasy",Shounen,7.001,257,770
Domestic Girlfriend,TV,12,Finished Airing,"Jan 12, 2019","Mar 30, 2019",Winter 2019,Diomedéa,Manga,"Drama, Romance",Shounen,6.691,258,5348
Wonder Egg Priority,TV,12,Finished Airing,"Jan 13, 2021","Mar 31, 2021",Winter 2021,CloverWorks,Original,"Drama, Fantasy",Unknown,7.691,259,8454
Food Wars! The Third Plate Totsuki Train Arc,TV,12,Finished Airing,"Apr 9, 2018","Jun 25, 2018",Spring 2018,J.C.Staff,Manga,"Gourmet, Ecchi",Shounen,7.981,260,1393
Kaguya-sama Love is War - Ultra Romantic,TV,13,Finished Airing,"Apr 9, 2022","Jun 25, 2022",Spring 2022,A-1 Pictures,Manga,"Comedy, Suspense",Seinen,9.121,261,23770
D.Gray-man,TV,103,Finished Airing,"Oct 3, 2006","Sep 30, 2008",Fall 2006,TMS Entertainment,Manga,"Action, Adventure, Comedy",Shounen,8.021,262,13315
Mushoku Tensei Jobless Reincarnation Part 2,TV,12,Finished Airing,"Oct 4, 2021","Dec 20, 2021",Fall 2021,Studio Bind,Light novel,"Drama, Fantasy, Ecchi",Unknown,8.731,263,15288
OreImo,TV,12,Finished Airing,"Oct 3, 2010","Dec 19, 2010",Fall 2010,AIC Build,Light novel,Comedy,Unknown,6.991,264,4370
The Seven Deadly Sins Imperial Wrath of the Gods,TV,24,Finished Airing,"Oct 9, 2019","Mar 25, 2020",Fall 2019,Studio Deen,Manga,"Action, Adventure, Fantasy, Supernatural",Shounen,6.451,265,1340
Akashic Records of Bastard Magic Instructor,TV,12,Finished Airing,"Apr 4, 2017","Jun 20, 2017",Spring 2017,LIDENFILMS,Light novel,"Action, Fantasy",Unknown,7.151,266,3062
Blood Lad,TV,10,Finished Airing,"Jul 8, 2013","Sep 9, 2013",Summer 2013,Brain's Base,Manga,"Action, Comedy, Supernatural",Seinen,7.271,267,1979
91 Days,TV,12,Finished Airing,"Jul 9, 2016","Oct 1, 2016",Summer 2016,Shuka,Original,"Action, Drama",Unknown,7.831,268,7263
Nisekoi False Love,TV,12,Finished Airing,"Apr 10, 2015","Jun 26, 2015",Spring 2015,Shaft,Manga,"Comedy, Romance",Shounen,7.361,269,1775
The Misfit of Demon King Academy,TV,13,Finished Airing,"Jul 4, 2020","Sep 26, 2020",Summer 2020,SILVER LINK.,Light novel,"Action, Fantasy",Unknown,7.381,270,5188
Rosario + Vampire,TV,13,Finished Airing,"Jan 3, 2008","Mar 27, 2008",Winter 2008,Gonzo,Manga,"Comedy, Fantasy, Romance, Ecchi",Shounen,6.761,271,3297
Fire Force Season 2,TV,24,Finished Airing,"Jul 4, 2020","Dec 12, 2020",Summer 2020,David Production,Manga,"Action, Supernatural",Shounen,7.791,272,2513
How Not to Summon a Demon Lord,TV,12,Finished Airing,"Jul 5, 2018","Sep 20, 2018",Summer 2018,Ajia-Do,Light novel,"Comedy, Fantasy, Ecchi",Unknown,6.881,273,2392
Himouto! Umaru-chan,TV,12,Finished Airing,"Jul 9, 2015","Sep 24, 2015",Summer 2015,Doga Kobo,Manga,Comedy,Seinen,7.121,274,4309
K-ON! Season 2,TV,26,Finished Airing,"Apr 7, 2010","Sep 29, 2010",Spring 2010,Kyoto Animation,4-koma manga,Comedy,Unknown,8.171,275,13820
My Teen Romantic Comedy SNAFU Climax!,TV,12,Finished Airing,"Jul 10, 2020","Sep 25, 2020",Summer 2020,feel.,Light novel,"Comedy, Romance",Unknown,8.371,276,12887
Claymore,TV,26,Finished Airing,"Apr 4, 2007","Sep 26, 2007",Spring 2007,Madhouse,Manga,"Action, Adventure, Fantasy, Supernatural",Shounen,7.751,277,7976
Monogatari Series Second Season,TV,26,Finished Airing,"Jul 7, 2013","Dec 29, 2013",Summer 2013,Shaft,Light novel,"Comedy, Mystery, Romance, Supernatural",Unknown,8.771,278,22623
March Comes In Like a Lion,TV,22,Finished Airing,"Oct 8, 2016","Mar 18, 2017",Fall 2016,Shaft,Manga,"Drama, Slice of Life",Seinen,8.391,279,14521
Scum's Wish,TV,12,Finished Airing,"Jan 13, 2017","Mar 31, 2017",Winter 2017,Lerche,Manga,"Drama, Romance",Seinen,7.171,280,6029
School Days,TV,12,Finished Airing,"Jul 4, 2007","Sep 27, 2007",Summer 2007,TNK,Visual novel,"Drama, Romance",Unknown,5.541,281,3029
Yu Yu Hakusho Ghost Files,TV,112,Finished Airing,"Oct 10, 1992","Jan 7, 1995",Fall 1992,Pierrot,Manga,"Action, Comedy, Supernatural",Shounen,8.451,282,20490
The Testament of Sister New Devil,TV,12,Finished Airing,"Jan 8, 2015","Mar 26, 2015",Winter 2015,Production IMS,Light novel,"Action, Fantasy, Romance, Ecchi",Unknown,6.721,283,1894
TONIKAWA Over The Moon For You,TV,12,Finished Airing,"Oct 3, 2020","Dec 19, 2020",Fall 2020,Seven Arcs,Manga,"Comedy, Romance",Shounen,7.911,284,9104
My Love Story!!,TV,24,Finished Airing,"Apr 9, 2015","Sep 24, 2015",Spring 2015,Madhouse,Manga,"Comedy, Romance",Shoujo,7.911,285,4661
Barakamon,TV,12,Finished Airing,"Jul 6, 2014","Sep 28, 2014",Summer 2014,Kinema Citrus,Web manga,Slice of Life,Unknown,8.391,286,12196
Rascal Does Not Dream of a Dreaming Girl,Movie,1,Finished Airing,"Jun 15, 2019",Not Available,Unknown,CloverWorks,Light novel,"Drama, Romance, Supernatural",Unknown,8.611,287,9418
Lucky☆Star,TV,24,Finished Airing,"Apr 8, 2007","Sep 17, 2007",Spring 2007,Kyoto Animation,4-koma manga,Comedy,Unknown,7.741,288,11352
The Rising of the Shield Hero Season 2,TV,13,Finished Airing,"Apr 6, 2022","Jun 29, 2022",Spring 2022,"Kinema Citrus, DR Movie",Light novel,"Action, Adventure, Drama, Fantasy",Unknown,6.561,289,12276
The Asterisk War,TV,12,Finished Airing,"Oct 3, 2015","Dec 19, 2015",Fall 2015,A-1 Pictures,Light novel,"Action, Comedy, Fantasy, Romance, Sci-Fi, Supernatural, Ecchi",Unknown,6.831,290,2143
Psycho-Pass 2,TV,11,Finished Airing,"Oct 10, 2014","Dec 19, 2014",Fall 2014,Tatsunoko Production,Original,"Action, Sci-Fi, Suspense",Unknown,7.401,291,1399
Snow White with the Red Hair,TV,12,Finished Airing,"Jul 7, 2015","Sep 22, 2015",Summer 2015,Bones,Manga,"Drama, Fantasy, Romance",Shoujo,7.761,292,6841
"WataMote No Matter How I Look At It, It's You Guys' Fault I'm Not Popular!",TV,12,Finished Airing,"Jul 9, 2013","Sep 24, 2013",Summer 2013,SILVER LINK.,Web manga,Comedy,Unknown,7.001,293,5108
