English,Type,Episodes,Status,Start_Aired,End_Aired,Premiered,Studios,Source,Genres,Demographics,Score,Popularity,Favorites
The Labyrinth of Grisaia The Cocoon of Caprice 0,Special,1,Finished Airing,"Apr 12, 2015",Not Available,Unknown,8bit,Visual novel,Drama,Unknown,7.851,950,654
The Garden of Sinners Chapter 3 Remaining Sense of Pain,Movie,1,Finished Airing,"Feb 9, 2008",Not Available,Unknown,ufotable,Light novel,"Action, Drama, Mystery, Supernatural, Suspense",Unknown,8.041,951,647
Unknown,TV,10,Finished Airing,"Apr 16, 2016","Jun 18, 2016",Spring 2016,asread.,Manga,Action,Shounen,5.361,952,227
Ghost in the Shell Stand Alone Complex 2nd GIG,TV,26,Finished Airing,"Jan 1, 2004","Jan 8, 2005",Winter 2004,Production I.G,Manga,"Action, Mystery, Sci-Fi",Seinen,8.521,953,2996
Log Horizon Destruction of the Round Table,TV,12,Finished Airing,"Jan 13, 2021","Mar 31, 2021",Winter 2021,Studio Deen,Light novel,"Action, Adventure, Fantasy",Unknown,7.061,954,612
SKET Dance,TV,77,Finished Airing,"Apr 7, 2011","Sep 27, 2012",Spring 2011,Tatsunoko Production,Manga,Comedy,Shounen,8.221,955,3125
Tonari no Seki-kun The Master of Killing Time,TV,21,Finished Airing,"Jan 6, 2014","May 26, 2014",Winter 2014,Shin-Ei Animation,Manga,Comedy,Seinen,7.551,956,595
Ushio and Tora,TV,26,Finished Airing,"Jul 3, 2015","Dec 25, 2015",Summer 2015,"MAPPA, Studio VOLN",Manga,"Action, Adventure, Comedy, Supernatural",Shounen,7.571,957,638
Isekai Quartet 2,TV,12,Finished Airing,"Jan 15, 2020","Apr 1, 2020",Winter 2020,Studio PuYUKAI,Original,"Comedy, Fantasy",Unknown,7.371,958,240
Magical Girl Site,TV,12,Finished Airing,"Apr 7, 2018","Jun 23, 2018",Spring 2018,production doA,Manga,"Drama, Horror, Supernatural",Unknown,6.521,959,1127
Skeleton Knight in Another World,TV,12,Finished Airing,"Apr 7, 2022","Jun 23, 2022",Spring 2022,"Studio Kai, HORNETS",Light novel,"Action, Fantasy",Unknown,7.201,960,1433
Mobile Suit Gundam Iron-Blooded Orphans,TV,25,Finished Airing,"Oct 4, 2015","Mar 27, 2016",Fall 2015,Sunrise,Original,"Action, Drama, Sci-Fi",Unknown,8.041,961,2820
Boogiepop and Others,TV,18,Finished Airing,"Jan 4, 2019","Mar 29, 2019",Winter 2019,Madhouse,Light novel,"Avant Garde, Drama, Horror, Mystery, Supernatural",Unknown,7.081,962,763
Digimon Adventure 02,TV,50,Finished Airing,"Apr 2, 2000","Mar 25, 2001",Spring 2000,Toei Animation,Original,"Action, Adventure, Comedy, Drama, Fantasy",Kids,7.231,963,713
"Demon Lord, Retry!",TV,12,Finished Airing,"Jul 4, 2019","Sep 19, 2019",Summer 2019,EKACHI EPILKA,Light novel,"Action, Adventure, Fantasy",Unknown,6.551,964,576
The Great Jahy Will Not Be Defeated!,TV,20,Finished Airing,"Aug 1, 2021","Dec 19, 2021",Summer 2021,SILVER LINK.,Manga,"Comedy, Supernatural",Shounen,7.081,965,1365
Children of the Whales,TV,12,Finished Airing,"Oct 8, 2017","Dec 24, 2017",Fall 2017,J.C.Staff,Manga,"Drama, Fantasy, Mystery",Shoujo,7.171,966,942
Sunday Without God,TV,12,Finished Airing,"Jul 7, 2013","Sep 22, 2013",Summer 2013,Madhouse,Light novel,"Adventure, Fantasy, Mystery",Unknown,7.311,967,855
